Ano;DscClassificacao;Descricao Categoria;Agente;CNPJ;Ordem IASC;MdaIndicadorQualidade;MdaIndicadorSatisfacao;MdaIndicadorFidelidade;MdaIndicadorValor;MdaIndicadorConfianca;MdaMediaSatisfacaoS1;MdaMediaSatisfacaoS2;MdaMediaSatisfacaoS3;MdaMediaQualidadeInformacao;MdaMediaQualidadeAcesso;MdaMediaQualidadeConfiabilidade;MdaMediaSatisfacao
2017;Permissionária;Permissionárias até 10 mil unidades consumidoras;Cergapa;01.229.747./000.1-89;10;86,7;79,7;48,8;40,4;81,0;8,5;8,5;7,5;8,4;9,1;8,9;8,2
2017;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Cermissões;97.081.434./000.1-03;11;72,0;79,1;56,1;39,4;75,2;8,0;8,2;8,1;6,9;7,8;7,7;8,1
2017;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Ceraçá;09.364.804./000.1-44;12;71,2;78,7;56,0;43,9;79,0;8,3;8,2;7,8;7,0;7,6;7,6;8,1
2017;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Cooperluz;95.824.322./000.1-61;13;71,0;78,1;56,7;45,2;74,6;8,1;8,3;7,7;7,2;7,5;7,4;8,0
2017;Permissionária;Permissionárias até 10 mil unidades consumidoras;Certrel;76.583.962./000.1-82;14;79,1;78,0;44,9;43,9;76,6;8,4;8,1;7,6;7,7;8,5;8,2;8,0
2017;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Cersul;86.512.670./000.1-02;15;81,7;77,5;51,6;39,7;77,5;8,1;7,9;7,9;8,1;8,5;8,4;8,0
2017;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Cerbranorte;86.433.042./000.1-31;16;85,1;77,4;45,6;43,7;78,0;8,1;8,4;7,4;8,3;9,0;8,7;8,0
2017;Permissionária;Permissionárias até 10 mil unidades consumidoras;Creral;89.435.598./000.1-55;17;73,1;76,9;53,4;40,0;79,9;8,2;7,9;7,6;7,0;8,0;7,7;7,9
2017;Permissionária;Permissionárias até 10 mil unidades consumidoras;Cergral;86.449.170./000.1-73;18;81,2;76,8;46,1;43,2;75,7;8,1;8,2;7,4;7,7;8,8;8,4;7,9
2017;Permissionária;Permissionárias até 10 mil unidades consumidoras;Cejama;85.665.990./000.1-30;19;80,7;76,1;49,1;33,1;77,7;8,0;7,8;7,7;7,8;8,7;8,2;7,9
2017;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Cermoful;86.533.346./000.1-70;20;83,2;75,4;39,3;39,3;66,9;8,3;7,6;7,5;8,0;8,8;8,6;7,8
2017;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Certel Energia;09.257.558./000.1-21;21;80,4;75,3;77,0;39,6;80,1;8,7;7,5;7,2;8,2;8,4;8,2;7,8
2017;Permissionária;Permissionárias até 10 mil unidades consumidoras;Ceral Anitápolis;75.826.404./000.1-38;22;83,1;73,3;40,7;38,6;73,2;7,7;8,1;6,9;7,9;9,1;8,4;7,6
2017;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Ceprag;78.274.610./000.1-70;23;76,4;73,3;44,7;34,1;76,6;8,0;7,4;7,3;7,5;8,3;7,8;7,6
2017;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Cerej;82.574.864./000.1-81;24;74,7;72,6;45,3;46,2;71,9;7,5;7,8;7,2;7,4;8,3;7,5;7,5
2017;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Certaja Energia;97.839.922./000.1-29;25;74,2;72,2;54,9;27,1;76,0;7,9;7,3;7,3;7,5;8,0;7,5;7,5
2017;Permissionária;Permissionárias até 10 mil unidades consumidoras;Cedrap;60.196.987./000.1-93;26;77,6;72,0;33,2;29,3;71,5;8,0;7,6;6,8;7,7;8,2;8,0;7,5
2017;Permissionária;Permissionárias até 10 mil unidades consumidoras;Cermc;52.548.732./000.1-14;27;76,2;68,9;37,5;26,8;73,0;8,1;6,8;6,6;7,6;8,0;7,9;7,2
2017;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Cerpalo;85.318.640./000.1-05;28;69,9;67,8;40,5;35,6;69,0;7,1;7,4;6,7;6,8;8,1;7,0;7,1
2017;Permissionária;Permissionárias até 10 mil unidades consumidoras;Cerpro;44.560.381./000.1-39;29;64,7;64,9;48,2;34,7;63,5;6,5;7,4;6,6;6,6;7,0;6,9;6,8
2017;Permissionária;Permissionárias até 10 mil unidades consumidoras;Cernhe;53.176.038./000.1-86;30;63,6;64,3;46,2;28,4;67,3;6,6;6,9;6,8;6,5;7,0;6,7;6,8
2017;Permissionária;Permissionárias até 10 mil unidades consumidoras;Cercos;13.107.842./000.1-99;31;63,0;61,5;32,5;24,9;61,2;6,6;6,8;6,1;6,2;6,9;6,9;6,5
2017;Permissionária;Permissionárias até 10 mil unidades consumidoras;Ceris;57.384.943./000.1-82;32;66,6;61,2;25,3;27,1;68,4;6,8;6,5;6,2;7,0;7,0;7,0;6,5
2017;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Cetril;49.313.653./000.1-10;33;55,9;59,1;43,9;34,1;63,9;6,1;6,6;6,3;5,8;6,3;6,0;6,3
2017;Permissionária;Permissionárias acima de 10 mil unidades consumidoras;Ceripa;49.606.312./000.1-32;34;55,7;55,4;38,4;34,0;62,0;6,1;5,7;6,1;5,6;6,3;6,1;6,0
